업체코드,업체명,위도,경도,월평균 예약 수,재구매율,익일배송여부,활성 여부
"1,180",카닥테크센터 아이모터스점,37.32713635,127.1076923,39,39%,Y,Y
549,서울자동차공업사(서울),37.48457936,126.9395735,39,28%,Y,Y
168,무주지포트 용인기흥점,37.31969833,127.1044793,27,52%,Y,Y
44,피트크루,37.2644923,127.0216164,24,40%,Y,Y
251,(주)가나안모터스,37.50510088,126.859948,32.5,37%,Y,Y
658,현대카 서비스,37.5445422,127.0848009,26.5,25%,Y,Y
"1,798",오토아지트(AUTOAGIT),37.25536825,127.0607021,20.5,32%,Y,Y
818,탑기어모터스,36.8202369,127.1362648,15,47%,N,Y
"1,608",탑모터스대화점,37.6727512,126.7515156,10,40%,N,Y
"1,527",창성 모터스,37.39367116,127.2245996,10.5,67%,N,Y
474,오토오아시스 방이점,37.51350546,127.1172085,16.5,36%,Y,Y
429,신우자동차공업사(서대문),37.58225757,126.9265194,17.5,40%,Y,Y
15,아짚모터스(AZIP MOTORS),37.56345324,126.9130779,11,32%,Y,Y
9,상익카,37.3959131,126.9707023,3,67%,N,Y
397,승진자동차,37.5570451,126.8642592,21.5,21%,Y,Y
601,현대1급 카공업사,37.45742186,126.6716328,17.5,23%,Y,Y
226,제이 모터스,37.55595283,127.2018446,21.5,23%,Y,Y
"1,788",이도모터스,37.38190972,126.9620547,18.5,27%,Y,Y
"1,652",형제카센타,37.36758199,127.1420249,17.5,31%,Y,Y
674,청구모터스,35.86342099,128.6444982,14,25%,N,Y
"1,815",애니카랜드역삼점,37.5067892,127.0366999,20.5,17%,Y,Y
51,매봉오토빌리지,37.48832675,127.0411311,10.5,24%,Y,Y
263,닥터카센터,37.40516166,127.1221988,16.5,18%,Y,Y
"1,714",성강카서비스,37.38460266,126.7041547,23.5,32%,Y,Y
112,DS모터스,37.66754995,126.8016552,17,18%,Y,Y
"1,092",좋은차정비센타,37.55763223,126.6728463,17,27%,Y,Y
242,현정카 프로정비,37.50047051,126.7362605,16,31%,Y,Y
567,하나로자동차공업사,37.6165768,127.028245,15,20%,Y,Y
110,현대그린카,37.30313031,126.974901,12.5,24%,Y,Y
"1,780",은하모터스,36.63274922,127.4417171,15,30%,N,Y
227,현대카마스타,37.3581584,126.7542335,8.5,29%,Y,Y
