행정동코드,인구수
11010530,8411
11010540,2060
11010550,9057
11010560,16392
11010570,7446
11010580,9194
11010600,3659
11010610,6892
11010630,5820
11010640,7892
11010670,5356
11010680,8687
11010690,6230
11010700,5903
11010710,10564
11010720,10521
11010730,20402
11020520,2521
11020540,4233
11020550,2500
11020570,5761
11020580,6218
11020590,6934
11020600,3365
11020650,10193
11020670,13827
11020680,11771
11020690,9168
11020700,13042
11020710,15322
11020720,12416
11020730,9628
11030510,15617
11030520,9524
11030530,6628
11030570,12991
11030580,10144
11030590,10803
11030630,23165
11030640,7268
11030650,7142
11030660,9065
11030690,11813
11030700,8168
11030710,19454
11030720,16667
11030730,20810
11030740,14142
11040520,15908
11040540,21413
11040550,15889
11040560,13546
11040570,21678
11040580,14124
11040590,14010
11040620,13540
11040650,14879
11040660,11689
11040670,14428
11040680,9822
11040690,9836
11040700,13186
11040710,25872
11040720,20849
11040730,24019
11050530,30729
11050540,22599
11050550,15233
11050560,19891
11050570,15239
11050580,26662
11050590,11157
11050600,23261
11050610,25148
11050620,26596
11050630,32953
11050640,22258
11050650,23116
11050660,25997
11050670,24291
11060710,15301
11060720,15975
11060730,24906
11060800,18449
11060810,39593
11060820,24670
11060830,33395
11060840,18348
11060860,26616
11060870,36673
11060880,32421
11060890,22471
11060900,19471
11060910,27500
11070520,23014
11070540,17740
11070550,14121
11070570,20716
11070590,22292
11070600,20800
11070610,18033
11070620,23604
11070640,32385
11070650,17857
11070680,15558
11070690,36290
11070700,18831
11070710,32567
11070720,23798
11070730,37460
11080580,13613
11080590,22229
11080600,20084
11080610,16394
11080620,17563
11080630,21793
11080640,17527
11080650,23845
11080660,34165
11080680,21093
11080710,24650
11080720,19388
11080760,22559
11080770,12859
11080780,14941
11080810,15490
11080820,22259
11080830,16076
11080840,39031
11080850,33651
11090600,16738
11090610,14236
11090620,15603
11090630,19469
11090640,19588
11090650,23123
11090690,22914
11090700,20856
11090710,27809
11090720,23664
11090730,29193
11090740,19342
11090750,27935
11100510,21320
11100520,17334
11100530,15975
11100540,17293
11100550,26645
11100560,17676
11100570,25060
11100590,22874
11100600,27370
11100610,12671
11100620,25336
11100630,22946
11100640,19190
11100650,25307
11110510,21927
11110520,24780
11110530,27457
11110560,43502
11110580,26463
11110590,20194
11110600,21782
11110610,25356
11110640,18529
11110650,35496
11110660,18745
11110690,22176
11110720,21003
11110730,18676
11110740,17260
11110760,26330
11110770,30071
11110780,30916
11110790,35783
11120510,34843
11120520,35839
11120550,13887
11120560,26433
11120570,30351
11120580,26741
11120590,31628
11120600,26291
11120650,25320
11120660,18150
11120670,15823
11120680,20561
11120710,51809
11120720,25652
11120730,22827
11120740,41987
11130520,16479
11130620,23819
11130640,17311
11130650,12274
11130660,21115
11130680,28218
11130690,16217
11130700,30554
11130710,16913
11130720,29681
11130730,19538
11130740,15224
11130750,33046
11130760,35956
11140590,20445
11140600,16282
11140610,16575
11140630,21980
11140660,25219
11140680,15625
11140690,18398
11140700,17227
11140710,14451
11140720,18410
11140730,37450
11140740,28979
11140750,19662
11140760,25265
11140770,34948
11140780,28011
11150510,28723
11150520,27383
11150530,20234
11150540,23354
11150570,18712
11150580,20052
11150590,13904
11150600,16619
11150610,13447
11150620,13304
11150630,17923
11150640,18732
11150650,17903
11150660,47603
11150690,22662
11150700,27037
11150710,38481
