ADM_CD,ADM_NM,lat,lon,area_km2
11010530,사직동,37.573906,126.97046,1.1577
11010540,삼청동,37.58844,126.981171,1.4772
11010550,부암동,37.597003,126.963578,2.2733
11010560,평창동,37.615702,126.96813,8.9404
11010570,무악동,37.577083,126.958664,0.3692
11010580,교남동,37.571014,126.964158,0.3467
11010600,가회동,37.582464,126.986578,0.5396
11010610,종로1·2·3·4가동,37.57525,126.989885,2.4142
11010630,종로5·6가동,37.57283,127.004384,0.6027
11010640,이화동,37.579708,127.003081,0.7818
11010670,창신1동,37.572394,127.01373,0.3049
11010680,창신2동,37.575994,127.010243,0.2573
11010690,창신3동,37.578914,127.013157,0.2167
11010700,숭인1동,37.577215,127.016872,0.2392
11010710,숭인2동,37.5744,127.020346,0.3516
11010720,청운효자동,37.584401,126.969915,2.5686
11010730,혜화동,37.587481,126.997386,1.1317
11020520,소공동,37.564255,126.974305,0.9431
11020540,회현동,37.556926,126.977114,0.8972
11020550,명동,37.563997,126.984285,0.9689
11020570,필동,37.556872,126.993733,1.4636
11020580,장충동,37.555539,127.002125,1.017
11020590,광희동,37.565126,127.003802,0.7367
11020600,을지로동,37.566645,126.996591,0.6112
11020650,신당5동,37.563648,127.021956,0.3193
11020670,황학동,37.568401,127.020775,0.3284
11020680,중림동,37.557332,126.965993,0.4839
11020690,신당동,37.565703,127.013695,0.5345
11020700,다산동,37.554932,127.008355,0.5237
11020710,약수동,37.550162,127.010321,0.4859
11020720,청구동,37.556872,127.015266,0.3423
11020730,동화동,37.560772,127.018642,0.3268
11030510,후암동,37.549933,126.980641,0.8653
11030520,용산2가동,37.537904,126.985059,1.9701
11030530,남영동,37.544052,126.974811,1.1769
11030570,원효로2동,37.533849,126.952427,0.7084
11030580,효창동,37.542788,126.960945,0.4459
11030590,용문동,37.537945,126.958513,0.2773
11030630,이촌1동,37.515182,126.971782,2.8706
11030640,이촌2동,37.522863,126.954202,1.2046
11030650,이태원1동,37.533389,126.993224,0.5824
11030660,이태원2동,37.541672,126.991993,0.8735
11030690,서빙고동,37.51967,126.988949,2.8151
11030700,보광동,37.526916,127.000904,0.7147
11030710,청파동,37.547559,126.966819,0.8855
11030720,원효로1동,37.537484,126.966594,0.5886
11030730,한강로동,37.529148,126.968655,2.8677
11030740,한남동,37.537585,127.005129,3.0296
11040520,왕십리2동,37.561351,127.027662,0.3723
11040540,마장동,37.567353,127.040605,1.0342
11040550,사근동,37.558117,127.045431,1.1687
11040560,행당1동,37.559178,127.036212,0.5731
11040570,행당2동,37.556704,127.029624,0.4573
11040580,응봉동,37.550869,127.03375,0.5532
11040590,금호1가동,37.553552,127.024914,0.4451
11040620,금호4가동,37.545375,127.024176,0.8312
11040650,성수1가1동,37.540838,127.042238,1.8844
11040660,성수1가2동,37.549057,127.043875,0.9294
11040670,성수2가1동,37.536359,127.055327,1.1841
11040680,성수2가3동,37.545555,127.058156,1.0537
11040690,송정동,37.55241,127.064283,0.6814
11040700,용답동,37.558991,127.057395,2.3753
11040710,왕십리도선동,37.566828,127.029555,0.7097
11040720,금호2·3가동,37.551395,127.01988,0.6307
11040730,옥수동,37.540811,127.020598,1.9207
11050530,화양동,37.543237,127.073264,1.1354
11050540,군자동,37.553001,127.073722,0.7375
11050550,중곡1동,37.56206,127.077674,0.614
11050560,중곡2동,37.558829,127.084585,0.5451
11050570,중곡3동,37.567833,127.082053,0.6014
11050580,중곡4동,37.563851,127.094468,2.3117
11050590,능동,37.550534,127.081787,1.0913
11050600,구의1동,37.541614,127.085702,0.5945
11050610,구의2동,37.551086,127.094872,1.387
11050620,구의3동,37.53698,127.094248,1.0268
11050630,광장동,37.547812,127.10472,2.3919
11050640,자양1동,37.535608,127.080469,0.5684
11050650,자양2동,37.529093,127.082666,1.6563
11050660,자양3동,37.531363,127.070948,1.1955
11050670,자양4동,37.533777,127.063643,1.1791
11060710,회기동,37.593722,127.05148,0.7663
11060720,휘경1동,37.591864,127.062549,0.5214
11060730,휘경2동,37.586613,127.065819,1.1128
11060800,청량리동,37.58885,127.045215,1.2035
11060810,용신동,37.57557,127.032531,1.6172
11060820,제기동,37.583782,127.037212,1.1808
11060830,전농1동,37.579283,127.050955,1.1258
11060840,전농2동,37.58071,127.061093,0.9768
11060860,답십리2동,37.570778,127.060986,0.8751
11060870,장안1동,37.566287,127.068517,1.3411
11060880,장안2동,37.575699,127.072051,0.9959
11060890,이문1동,37.597332,127.060512,1.038
11060900,이문2동,37.602874,127.067419,0.724
11060910,답십리1동,37.571259,127.051949,0.7876
11070520,면목2동,37.589316,127.077908,0.7625
11070540,면목4동,37.573638,127.085377,0.8428
11070550,면목5동,37.582601,127.078847,0.7044
11070570,면목7동,37.57713,127.092778,1.2345
11070590,상봉1동,37.601721,127.089426,0.8531
11070600,상봉2동,37.594276,127.083929,0.6769
11070610,중화1동,37.602528,127.082991,0.6414
11070620,중화2동,37.59918,127.074989,1.0162
11070640,묵1동,37.613702,127.082545,1.2375
11070650,묵2동,37.610868,127.074619,0.6687
11070680,망우3동,37.591899,127.102915,0.9618
11070690,신내1동,37.613184,127.104079,2.6028
11070700,신내2동,37.610978,127.091549,0.9106
11070710,면목본동,37.588373,127.08952,0.8484
11070720,면목3·8동,37.584459,127.098291,1.6135
11070730,망우본동,37.602167,127.107453,2.948
11080580,돈암1동,37.599713,127.024354,0.4889
11080590,돈암2동,37.597116,127.011566,0.5181
11080600,안암동,37.58776,127.027255,1.3785
11080610,보문동,37.582744,127.019187,0.5526
11080620,정릉1동,37.60334,127.01699,0.4117
11080630,정릉2동,37.603686,127.008507,1.0941
11080640,정릉3동,37.612111,126.99459,3.3246
11080650,정릉4동,37.623934,126.994892,3.5682
11080660,길음1동,37.608238,127.019726,0.7967
11080680,길음2동,37.608286,127.027151,0.5876
11080710,월곡1동,37.607861,127.036576,0.8011
11080720,월곡2동,37.603244,127.045415,1.3642
11080760,장위1동,37.615083,127.0447,0.708
11080770,장위2동,37.612341,127.051907,0.679
11080780,장위3동,37.618214,127.053498,0.6521
11080810,성북동,37.596719,126.994008,2.8776
11080820,삼선동,37.586576,127.011679,0.9255
11080830,동선동,37.593611,127.018511,0.7243
11080840,종암동,37.597493,127.033828,1.4035
11080850,석관동,37.608246,127.061383,1.7039
11090600,번1동,37.637561,127.030583,0.6266
11090610,번2동,37.629509,127.034798,0.9736
11090620,번3동,37.623684,127.04218,1.0804
11090630,수유1동,37.629678,127.010005,1.6487
11090640,수유2동,37.645399,127.019328,0.5812
11090650,수유3동,37.64051,127.023411,0.7451
11090690,삼양동,37.62376,127.014914,0.9234
11090700,미아동,37.628636,127.026375,0.8406
11090710,송중동,37.617648,127.032986,1.075
11090720,송천동,37.618154,127.024931,0.9292
11090730,삼각산동,37.617125,127.016527,0.6214
11090740,우이동,37.660366,127.000501,10.5798
11090750,인수동,37.637358,127.003582,2.9957
11100510,쌍문1동,37.653028,127.019592,1.1749
11100520,쌍문2동,37.657091,127.03682,0.5408
11100530,쌍문3동,37.647713,127.030526,0.5044
11100540,쌍문4동,37.655422,127.030377,0.5544
11100550,방학1동,37.665038,127.043531,1.0401
11100560,방학2동,37.669189,127.032673,1.092
11100570,방학3동,37.663159,127.023576,1.9495
11100590,창1동,37.64709,127.043587,1.1213
11100600,창2동,37.642553,127.036711,0.6539
11100610,창3동,37.637245,127.04173,0.655
11100620,창4동,37.652697,127.050901,1.1388
11100630,창5동,37.655465,127.042759,0.7009
11100640,도봉1동,37.685333,127.026738,8.4451
11100650,도봉2동,37.681327,127.047645,1.1182
11110510,월계1동,37.621984,127.05841,1.1407
11110520,월계2동,37.63394,127.051282,2.0038
11110530,월계3동,37.624457,127.064822,1.1333
11110560,공릉2동,37.631643,127.094282,6.9797
11110580,하계1동,37.638525,127.075002,1.5259
11110590,하계2동,37.635078,127.064883,0.4997
11110600,중계본동,37.648659,127.086032,2.1816
11110610,중계1동,37.650232,127.073728,0.623
11110640,중계4동,37.659399,127.082589,1.5181
11110650,상계1동,37.683375,127.065078,5.3985
11110660,상계2동,37.656767,127.067005,0.6226
11110690,상계5동,37.66597,127.070017,0.9061
11110720,상계8동,37.666455,127.053526,0.6658
11110730,상계9동,37.667639,127.062155,0.719
11110740,상계10동,37.659772,127.058395,0.8086
11110760,상계3·4동,37.675806,127.084216,5.2079
11110770,상계6·7동,37.648736,127.060123,1.4492
11110780,중계2·3동,37.643426,127.065868,0.9184
11110790,공릉1동,37.624171,127.072549,1.2623
11120510,녹번동,37.605311,126.93449,1.7929
11120520,불광1동,37.616859,126.938697,3.1226
11120550,갈현1동,37.62516,126.914703,0.9604
11120560,갈현2동,37.617906,126.912469,0.9844
11120570,구산동,37.611049,126.907298,1.3888
11120580,대조동,37.612308,126.923134,0.8511
11120590,응암1동,37.598362,126.927016,1.109
11120600,응암2동,37.59209,126.922867,0.7547
11120650,신사1동,37.599154,126.908539,0.8077
11120660,신사2동,37.592873,126.906189,1.0455
11120670,증산동,37.584161,126.905902,0.8071
11120680,수색동,37.585542,126.894643,1.289
11120710,진관동,37.639657,126.937787,11.5568
11120720,불광2동,37.624283,126.928695,1.3951
11120730,응암3동,37.588886,126.917567,0.7522
11120740,역촌동,37.604555,126.914577,1.1567
11130520,천연동,37.571375,126.956652,0.9821
11130620,홍제1동,37.58348,126.944266,1.2348
11130640,홍제3동,37.592365,126.951647,1.208
11130650,홍제2동,37.584371,126.952463,0.6995
11130660,홍은1동,37.600637,126.946943,1.5976
11130680,홍은2동,37.587211,126.932176,2.0735
11130690,남가좌1동,37.571845,126.916326,0.4752
11130700,남가좌2동,37.577893,126.921389,0.783
11130710,북가좌1동,37.575409,126.908083,0.5776
